,a,b,c
0,0,0,409
1,1,0,0
2,2,0,0
3,3,0,0
4,4,0,0
5,5,0,0
6,6,0,0
7,7,0,0
8,8,0,0
9,9,0,0
10,10,0,0
11,11,0,0
12,12,0,0
13,13,0,0
14,14,0,0
15,15,0,0
16,16,0,0
17,17,0,0
18,18,0,0
19,19,0,0
20,20,0,0
21,21,0,0
22,22,0,0
23,23,0,0
24,0,1,0
25,1,1,404
26,2,1,32
27,3,1,0
28,4,1,0
29,5,1,0
30,6,1,0
31,7,1,0
32,8,1,0
33,9,1,0
34,10,1,0
35,11,1,0
36,12,1,0
37,13,1,0
38,14,1,0
39,15,1,0
40,16,1,0
41,17,1,0
42,18,1,0
43,19,1,0
44,20,1,0
45,21,1,0
46,22,1,0
47,23,1,0
48,0,2,0
49,1,2,5
50,2,2,377
51,3,2,0
52,4,2,0
53,5,2,0
54,6,2,0
55,7,2,0
56,8,2,0
57,9,2,0
58,10,2,0
59,11,2,0
60,12,2,0
61,13,2,0
62,14,2,0
63,15,2,0
64,16,2,0
65,17,2,0
66,18,2,0
67,19,2,0
68,20,2,0
69,21,2,0
70,22,2,0
71,23,2,0
72,0,3,0
73,1,3,0
74,2,3,0
75,3,3,409
76,4,3,0
77,5,3,0
78,6,3,0
79,7,3,0
80,8,3,0
81,9,3,0
82,10,3,0
83,11,3,0
84,12,3,0
85,13,3,0
86,14,3,0
87,15,3,0
88,16,3,0
89,17,3,0
90,18,3,0
91,19,3,0
92,20,3,0
93,21,3,0
94,22,3,0
95,23,3,0
96,0,4,0
97,1,4,0
98,2,4,0
99,3,4,0
100,4,4,409
101,5,4,0
102,6,4,0
103,7,4,0
104,8,4,0
105,9,4,0
106,10,4,0
107,11,4,0
108,12,4,0
109,13,4,0
110,14,4,0
111,15,4,0
112,16,4,0
113,17,4,0
114,18,4,0
115,19,4,0
116,20,4,0
117,21,4,0
118,22,4,0
119,23,4,0
120,0,5,0
121,1,5,0
122,2,5,0
123,3,5,0
124,4,5,0
125,5,5,408
126,6,5,0
127,7,5,1
128,8,5,0
129,9,5,0
130,10,5,0
131,11,5,0
132,12,5,0
133,13,5,0
134,14,5,0
135,15,5,0
136,16,5,0
137,17,5,0
138,18,5,0
139,19,5,0
140,20,5,0
141,21,5,0
142,22,5,0
143,23,5,0
144,0,6,0
145,1,6,0
146,2,6,0
147,3,6,0
148,4,6,0
149,5,6,0
150,6,6,52
151,7,6,0
152,8,6,0
153,9,6,0
154,10,6,0
155,11,6,0
156,12,6,0
157,13,6,0
158,14,6,0
159,15,6,0
160,16,6,0
161,17,6,0
162,18,6,0
163,19,6,0
164,20,6,0
165,21,6,0
166,22,6,0
167,23,6,0
168,0,7,0
169,1,7,0
170,2,7,0
171,3,7,0
172,4,7,0
173,5,7,1
174,6,7,357
175,7,7,408
176,8,7,0
177,9,7,0
178,10,7,0
179,11,7,0
180,12,7,0
181,13,7,0
182,14,7,0
183,15,7,0
184,16,7,0
185,17,7,0
186,18,7,0
187,19,7,0
188,20,7,0
189,21,7,0
190,22,7,0
191,23,7,0
192,0,8,0
193,1,8,0
194,2,8,0
195,3,8,0
196,4,8,0
197,5,8,0
198,6,8,0
199,7,8,0
200,8,8,405
201,9,8,0
202,10,8,2
203,11,8,0
204,12,8,0
205,13,8,1
206,14,8,0
